ID,Cell Name,Station ID,OBC Variant Number,Part Serial Number (SFC),Screw Material Number,PKP,AST11,Action (Task) Number,Program Number,Status,Date And Time,Last Step Number,Run Time,Step1 Number,Step1 Torque Low Value,Step1 Torque Target Value,Step1 Torque Measured Value,Step1 Torque Up Value,Step1 Angle Low Value,Step1 Angle Target Value,Step1 Angle Measured Value,Step1 Angle Up Value,Step2 Number,Step2 Torque Low Value,Step2 Torque Target Value,Step2 Torque Measured Value,Step2 Torque Up Value,Step2 Angle Low Value,Step2 Angle Target Value,Step2 Angle Measured Value,Step2 Angle Up Value,Step3 Number,Step3 Torque Low Value,Step3 Torque Target Value,Step3 Torque Measured Value,Step3 Torque Up Value,Step3 Angle Low Value,Step3 Angle Target Value,Step3 Angle Measured Value,Step3 Angle Up Value,Comment
158024,ST030,2,10352189,XT006RJV82490,10314078,1,1,24,2,0,2018-11-26 10:49:48,6,2.17,4,0.00,0.00,0.37,1.00,300,380,1902,450,6,0.05,0.00,1.51,1.60,1700,1900,20,2100,0,1.35,1.50,0.00,1.65,2,0,0,120,OK
158023,ST030,2,10352189,XT006RJV82490,10314078,1,1,23,2,0,2018-11-26 10:49:43,6,2.43,4,0.00,0.00,0.35,1.00,300,380,1902,450,6,0.05,0.00,1.51,1.60,1700,1900,21,2100,0,1.35,1.50,0.00,1.65,2,0,0,120,OK
158022,ST030,2,10352189,XT006RJV82490,10314078,1,1,22,2,0,2018-11-26 10:49:37,6,2.07,4,0.00,0.00,0.34,1.00,300,380,1902,450,6,0.05,0.00,1.50,1.60,1700,1900,20,2100,0,1.35,1.50,0.00,1.65,2,0,0,120,OK
158021,ST030,2,10352189,XT006RJV82490,10314078,1,1,21,2,0,2018-11-26 10:49:32,6,2.08,4,0.00,0.00,0.44,1.00,300,380,1902,450,6,0.05,0.00,1.49,1.60,1700,1900,15,2100,0,1.35,1.50,0.00,1.65,2,0,0,120,OK
158020,ST030,2,10352189,XT006RJV82490,10314078,1,1,20,2,0,2018-11-26 10:49:26,6,2.34,4,0.00,0.00,0.34,1.00,300,380,1902,450,6,0.05,0.00,1.49,1.60,1700,1900,22,2100,0,1.35,1.50,0.00,1.65,2,0,0,120,OK
158019,ST030,2,10352189,XT006RJV82490,10314078,1,1,19,2,0,2018-11-26 10:49:21,6,2.06,4,0.00,0.00,0.32,1.00,300,380,1902,450,6,0.05,0.00,1.50,1.60,1700,1900,22,2100,0,1.35,1.50,0.00,1.65,2,0,0,120,OK
158018,ST030,2,10352189,XT006RJV82490,10314078,1,1,18,2,0,2018-11-26 10:49:15,6,2.19,4,0.00,0.00,0.48,1.00,300,380,1901,450,6,0.05,0.00,1.49,1.60,1700,1900,22,2100,0,1.35,1.50,0.00,1.65,2,0,0,120,OK
158017,ST030,2,10352189,XT006RJV82490,10314078,1,1,17,2,0,2018-11-26 10:49:10,6,2.17,4,0.00,0.00,0.40,1.00,300,380,1901,450,6,0.05,0.00,1.49,1.60,1700,1900,18,2100,0,1.35,1.50,0.00,1.65,2,0,0,120,OK
158016,ST030,2,10352189,XT006RJV82490,10314078,1,1,16,2,0,2018-11-26 10:49:04,6,2.19,4,0.00,0.00,0.43,1.00,300,380,1902,450,6,0.05,0.00,1.48,1.60,1700,1900,18,2100,0,1.35,1.50,0.00,1.65,2,0,0,120,OK
158015,ST030,2,10352189,XT006RJV82490,10314078,1,1,15,2,0,2018-11-26 10:48:59,6,2.19,4,0.00,0.00,0.35,1.00,300,380,1901,450,6,0.05,0.00,1.51,1.60,1700,1900,18,2100,0,1.35,1.50,0.00,1.65,2,0,0,120,OK
158014,ST030,2,10352189,XT006RJV82490,10314078,1,1,14,2,0,2018-11-26 10:48:53,6,2.06,4,0.00,0.00,0.44,1.00,300,380,1902,450,6,0.05,0.00,1.52,1.60,1700,1900,15,2100,0,1.35,1.50,0.00,1.65,2,0,0,120,OK
158013,ST030,2,10352189,XT006RJV82490,10314078,1,1,13,2,0,2018-11-26 10:48:48,6,2.19,4,0.00,0.00,0.44,1.00,300,380,1902,450,6,0.05,0.00,1.50,1.60,1700,1900,14,2100,0,1.35,1.50,0.00,1.65,2,0,0,120,OK
158012,ST030,2,10352189,XT006RJV82490,10314078,1,1,12,1,0,2018-11-26 10:48:42,8,4.68,6,1.70,1.80,0.20,1.90,0,0,720,0,8,0.00,0.00,1.91,1.70,650,720,19,790,0,1.80,1.90,0.00,2.05,2,0,0,950,OK
158011,ST030,2,10352189,XT006RJV82490,10314078,1,1,11,1,0,2018-11-26 10:48:34,8,4.42,6,1.70,1.80,0.21,1.90,0,0,720,0,8,0.00,0.00,1.91,1.70,650,720,16,790,0,1.80,1.90,0.00,2.05,2,0,0,950,OK
158010,ST030,2,10352189,XT006RJV82490,10314078,1,1,10,1,0,2018-11-26 10:48:26,8,4.98,6,1.70,1.80,0.21,1.90,0,0,720,0,8,0.00,0.00,1.88,1.70,650,720,17,790,0,1.80,1.90,0.00,2.05,2,0,0,950,OK
158009,ST030,2,10352189,XT006RJV82490,10314078,1,1,9,1,0,2018-11-26 10:48:18,8,5.80,6,1.70,1.80,0.28,1.90,0,0,720,0,8,0.00,0.00,1.90,1.70,650,720,19,790,0,1.80,1.90,0.00,2.05,2,0,0,950,OK
158008,ST030,2,10352189,XT006RJV82490,10314078,1,1,8,1,0,2018-11-26 10:48:08,8,4.35,6,1.70,1.80,0.23,1.90,0,0,720,0,8,0.00,0.00,1.90,1.70,650,720,20,790,0,1.80,1.90,0.00,2.05,2,0,0,950,OK
158007,ST030,2,10352189,XT006RJV82490,10314078,1,1,7,1,0,2018-11-26 10:48:01,8,4.80,6,1.70,1.80,0.16,1.90,0,0,720,0,8,0.00,0.00,1.92,1.70,650,720,17,790,0,1.80,1.90,0.00,2.05,2,0,0,950,OK
158006,ST030,2,10352189,XT006RJV82490,10314078,1,1,6,1,0,2018-11-26 10:47:52,8,5.67,6,1.70,1.80,0.25,1.90,0,0,720,0,8,0.00,0.00,1.87,1.70,650,720,21,790,0,1.80,1.90,0.00,2.05,2,0,0,950,OK
158005,ST030,2,10352189,XT006RJV82490,10314078,1,1,5,1,0,2018-11-26 10:47:43,8,4.45,6,1.70,1.80,0.16,1.90,0,0,720,0,8,0.00,0.00,1.91,1.70,650,720,14,790,0,1.80,1.90,0.00,2.05,2,0,0,950,OK
158004,ST030,2,10352189,XT006RJV82490,10314078,1,1,4,1,0,2018-11-26 10:47:35,8,4.50,6,1.70,1.80,0.14,1.90,0,0,720,0,8,0.00,0.00,1.89,1.70,650,720,21,790,0,1.80,1.90,0.00,2.05,2,0,0,950,OK
158003,ST030,2,10352189,XT006RJV82490,10314078,1,1,3,1,0,2018-11-26 10:47:27,8,4.70,6,1.70,1.80,0.10,1.90,0,0,720,0,8,0.00,0.00,1.88,1.70,650,720,25,790,0,1.80,1.90,0.00,2.05,2,0,0,950,OK
158002,ST030,2,10352189,XT006RJV82490,10314078,1,1,2,1,0,2018-11-26 10:47:18,8,4.30,6,1.70,1.80,0.12,1.90,0,0,720,0,8,0.00,0.00,1.90,1.70,650,720,19,790,0,1.80,1.90,0.00,2.05,2,0,0,950,OK
158001,ST030,1,10352189,XT006RJV82490,10314078,1,1,31,2,0,2018-11-26 10:46:08,17,4.49,13,0.95,1.00,0.50,1.05,0,0,40,0,15,0.01,0.00,1.01,1.50,30,40,10,60,17,0.95,1.00,1.01,1.10,1,0,10,200,OK
158000,ST030,1,10352189,XT006RJV82490,10314078,1,1,27,2,0,2018-11-26 10:45:56,17,4.74,13,0.95,1.00,0.51,1.05,0,0,40,0,15,0.01,0.00,1.01,1.50,30,40,7,60,17,0.95,1.00,1.01,1.10,1,0,7,200,OK
157999,ST030,1,10352189,XT006RJV82490,10314078,1,1,23,2,0,2018-11-26 10:45:45,17,5.15,13,0.95,1.00,0.50,1.05,0,0,40,0,15,0.01,0.00,1.03,1.50,30,40,4,60,17,0.95,1.00,1.03,1.10,1,0,4,200,OK
157998,ST030,1,10352189,XT006RJV82490,10314078,1,1,19,2,0,2018-11-26 10:45:34,17,5.26,13,0.95,1.00,0.53,1.05,0,0,40,0,15,0.01,0.00,1.01,1.50,30,40,23,60,17,0.95,1.00,1.01,1.10,1,0,23,200,OK
157997,ST030,1,10352189,XT006RJV82490,10314078,1,1,15,2,0,2018-11-26 10:45:22,17,4.65,13,0.95,1.00,0.50,1.05,0,0,40,0,15,0.01,0.00,1.03,1.50,30,40,7,60,17,0.95,1.00,1.03,1.10,1,0,7,200,OK
157996,ST030,2,10352189,XT006RJP75190,10314078,1,1,24,2,0,2018-11-26 10:45:21,6,2.16,4,0.00,0.00,0.31,1.00,300,380,1900,450,6,0.05,0.00,1.49,1.60,1700,1900,17,2100,0,1.35,1.50,0.00,1.65,2,0,0,120,OK
157995,ST030,2,10352189,XT006RJP75190,10314078,1,1,23,2,0,2018-11-26 10:45:16,6,2.17,4,0.00,0.00,0.41,1.00,300,380,1900,450,6,0.05,0.00,1.48,1.60,1700,1900,16,2100,0,1.35,1.50,0.00,1.65,2,0,0,120,OK
157994,ST030,2,10352189,XT006RJP75190,10314078,1,1,22,2,0,2018-11-26 10:45:10,6,2.04,4,0.00,0.00,0.34,1.00,300,380,1902,450,6,0.05,0.00,1.49,1.60,1700,1900,15,2100,0,1.35,1.50,0.00,1.65,2,0,0,120,OK
157993,ST030,1,10352189,XT006RJV82490,10314078,1,1,11,2,0,2018-11-26 10:45:10,17,4.40,13,0.95,1.00,0.49,1.05,0,0,40,0,15,0.01,0.00,1.02,1.50,30,40,7,60,17,0.95,1.00,1.02,1.10,1,0,7,200,OK
157992,ST030,2,10352189,XT006RJP75190,10314078,1,1,21,2,0,2018-11-26 10:45:05,6,2.07,4,0.00,0.00,0.38,1.00,300,380,1902,450,6,0.05,0.00,1.50,1.60,1700,1900,14,2100,0,1.35,1.50,0.00,1.65,2,0,0,120,OK
157991,ST030,2,10352189,XT006RJP75190,10314078,1,1,20,2,0,2018-11-26 10:45:00,6,2.17,4,0.00,0.00,0.39,1.00,300,380,1902,450,6,0.05,0.00,1.51,1.60,1700,1900,15,2100,0,1.35,1.50,0.00,1.65,2,0,0,120,OK
157990,ST030,2,10352189,XT006RJP75190,10314078,1,1,19,2,0,2018-11-26 10:44:54,6,2.21,4,0.00,0.00,0.37,1.00,300,380,1901,450,6,0.05,0.00,1.50,1.60,1700,1900,15,2100,0,1.35,1.50,0.00,1.65,2,0,0,120,OK
157989,ST030,2,10352189,XT006RJP75190,10314078,1,1,18,2,0,2018-11-26 10:44:49,6,2.20,4,0.00,0.00,0.38,1.00,300,380,1900,450,6,0.05,0.00,1.50,1.60,1700,1900,18,2100,0,1.35,1.50,0.00,1.65,2,0,0,120,OK
157988,ST030,2,10352189,XT006RJP75190,10314078,1,1,17,2,0,2018-11-26 10:44:43,6,2.21,4,0.00,0.00,0.48,1.00,300,380,1900,450,6,0.05,0.00,1.52,1.60,1700,1900,18,2100,0,1.35,1.50,0.00,1.65,2,0,0,120,OK
157987,ST030,2,10352189,XT006RJP75190,10314078,1,1,16,2,0,2018-11-26 10:44:37,6,2.30,4,0.00,0.00,0.36,1.00,300,380,1902,450,6,0.05,0.00,1.51,1.60,1700,1900,20,2100,0,1.35,1.50,0.00,1.65,2,0,0,120,OK
157986,ST030,2,10352189,XT006RJP75190,10314078,1,1,15,2,0,2018-11-26 10:44:32,6,1.97,4,0.00,0.00,0.39,1.00,300,380,1901,450,6,0.05,0.00,1.49,1.60,1700,1900,22,2100,0,1.35,1.50,0.00,1.65,2,0,0,120,OK
